strain	Camphene	Carene	beta_Caryophyllene	D-Limonene	Eucalyptol	Fenchol	Fenchone	Guaiol	alpha_Humulene	Linalool	Terpinolene	Valencene	alpha-Bisabolol	alpha-Cedrene	alpha-Farnesene	alpha-Phellandrene	alpha-Pinene	alpha-Terpinene	alpha-Terpineol	beta-Farnesene	beta-Myrcene	beta-Ocimene	beta-Pinene	cis-Nerolidol	cis-Ocimene	endo-Borneol	gamma-Terpinene	trans-Nerolidol
1	0.00433023	0	0.12972463	0.0255265	0	0.0135956	0	0	0.035547	0.0243757	0.0014237	0.00721856	0.0244166	0.00894701	0	0	0.170503	0	0.00999318	0	0.368119	0	0.0460314	0.00602229	0.0395451	0	0	0.0042529
2	0.00272265	0	0.6327804	0.0567975	0	0.0259033	0	0.00171574	0.158073	0.056823	0.00125409	0.0130607	0.104169	0.0296438	0	0	0.0136387	0	0.0188077	0	0.182457	0	0.0255907	0.00740095	0.011723	0.00111232	5.67067e-4	0.0206907
3	0.0155107	0	0.47157119999999997	0.397535	0	0.139285	0	5.97836e-4	0.114869	0.0160792	0.00295984	0.0181771	0.0285898	0.0533504	0	0	0.119916	0	0.0892536	0	0.0808216	0	0.136076	0.0157931	0.154256	0.00371172	0	0.029426
4	0.0174384	0	0.2959218	0.285132	0	0.180822	0	8.82416e-4	0.0926151	0.232478	0.00289569	0.0346927	0.0532705	0.0260056	0	0	0.0611865	0	0.163474	0	0.371981	0	0.115052	0.0252774	0	0.0106361	0	0.00376954
5	0.0133814	0	0.1328435	0.242672	0	0.155263	0	0.101543	0.0342822	0.0679025	0.002737	0.00846977	0.0210998	0.0294352	0	0	0.0703558	0	0.113247	0	0.0416571	0	0.0862205	0.0112914	0.029475	0.00763374	0	0.0161284
6	0.0107778	0	0.152791	0.304436	0	0.0782778	0	0	0.0474957	0.23465	0.0104103	0.0146538	0.0172479	0.0236453	0	0	0.0443077	0	0.0679444	0	0.665671	0	0.0786709	0.013547	0.00350855	0.00369658	4.74359e-4	0.00576068
7	0.0103937	0	0.168753	0.33909	0	0.0671172	0	3.80577e-4	0.0482415	0.214208	0.0104637	0.0153062	0.0213211	0.0169991	0	0	0.0442345	0	0.0639545	0	0.686185	0	0.0796719	0.0114042	0.00325459	0.00324147	0	0.00486002
8	0.00465763	0	0.01373856	0.0403442	0	0.0165324	0	0	0.00206518	0	0.20896700000000001	0.00504211	7.43317e-4	0.0116001	0	0	0.218535	0.00917979	0.0181838	0	0.075595	0	0.0817906	0.00666056	0.064427	0.00236543	0.00645551	0.00171366
9	0.00906689	0	0.6566242	0.206542	0	0.0818662	0	9.18432e-4	0.263091	0.0582344	0.0201845	0.0171399	0	0.0425288	0	0	0.0344978	0	0.0754917	0	0.291428	0	0.0546781	0.0225498	0.00601384	0.00567415	0	0.00522961
10	0.00484782	0	0.4281736	0.0839788	0	0.0970225	0	8.77812e-4	0.14599	0.0960521	0.00193207	0.0280106	0.075708	0.0164755	0	0	0.0171019	0	0.0871945	0	0.15723	0	0.0353507	0.0375959	7.27834e-4	0.00536833	0	0.087843
11	0.004	0	0.3334379	0.0692785	0	0.034275	0	0.0563055	0.09702	0.0744865	0.00658989	0.018463	0.0342515	0.0252785	0	0	0.0165076	0	0.0233184	0	0.379173	0	0.0348531	0.0173725	0.00254759	0.00124089	0	0.00754407
12	0.00239793	0	0.32920485	0.0680582	0	0.0202031	0	8.04621e-4	0.0962557	0.0855646	0.00140609	0.0157299	0.0890102	0.0418921	0	0	0.0108703	0	0.0186497	0	0.393009	0	0.0202071	0.0214738	0.00137025	9.55985e-4	0	0.011906
13	0.00702654	0	0.7877430999999999	0.179633	0	0.0727421	0	0.00140168	0.290696	0.118004	0.00253572	0.0179769	0.0609753	0.0858834	0	0	0.0252484	0	0.0533454	0	0.125756	0	0.0485643	0.0259197	5.71558e-4	0.00299388	0	0.0126242
14	0.00721214	0	0.3638898	0.196001	0	0.0710371	0	7.90848e-4	0.109261	0.0653022	0.00266103	0.0112161	0.00590898	0.01904	0	0	0.0354937	0	0.0645063	0	0.230047	0	0.0343049	0.012181	0	0.00452126	8.00796e-4	0.0159115
15	0.00744634	0	0.2620626	0.136319	0.00900074	0.0456353	0	0	0.0621219	0.0179768	0.00133728	0	0.0381841	0.00523069	0	0	0.207214	0	0.0243523	0	0.287713	0	0.10605	0	0.0529287	0.00289169	8.43819e-4	0.0075549
16	0.0101972	0	0.258399	0.205477	4.54093e-4	0.124804	0	0.0807289	0.0740609	0.19279	0.00266082	0.0102689	0.0518383	0.0377455	0	0	0.0390161	0	0.0891018	0	0.165361	0	0.0702649	0.0164708	0	0.00700657	0	0.0132802
17	0.0103499	0	0.20050859999999998	0.193923	0	0.0920626	0	0.0866073	0.0549446	0.157327	0.0018822	0.00344273	0.0384134	0.026316	0	0	0.0372919	0	0.0800652	0	0.112058	0	0.0707281	0.0117018	0	0.00576831	0	0.00926755
18	0.0335217	0	0.3763261	1.24126	0	0.209329	0	0	0.115044	0.241159	0.00975274	0.0485482	0.0458601	0.073716	0	0	0.122759	0	0.173836	0	1.7299	0	0.235666	0.0196644	0.00110915	0.0110032	0.0011798	0.00305546
19	0.00427609	0	0.11177828000000001	0.0490495	0.00882175	0.0268975	0	0	0.0288264	0.00947711	0	0	0.0104997	0.00185917	0	0	0.0753474	0	0.0188613	0	0.110676	0	0.0611899	0	0.0158215	0.00185452	0	0.00747386
20	0.00243913	0	0.1365003	0.0508696	0.00572174	0.055887	0	0.0672913	0.0335522	0.00382174	0	0.0112435	0.00894783	0.0186043	0	0	0.0884478	0	0.0343304	0	0.382	0	0.0460435	0.0116739	0.0017087	0.00429565	0	0.0218478
21	0.00719533	0.0547171	0.26402456	0.131159	0.0092793	0.0166188	0.0024634	0	0.0781756	0.00763808	0.796093	0	0	0.00168343	0.133291	0.0486102	0.10862	0.0174845	0.0175784	0.0925384	0.201011	0.0881504	0.168069	0	0	0.00183296	0.0170921	0
22	0.0131024	0	0.0198615	0.180658	0	0.0986442	0	0.0225482	0.00755072	0.0197279	0.00514597	0.0045621	0.0205146	0.00695695	0	0	0.220549	0	0.0667937	0	1.03411	0	0.160955	0.00241465	0.0056308799999999996	0.00669471	7.12519e-4	0.0021425
23	0.00463975	0	0.2468927	0.110698	0	0.0564711	0	0.00115101	0.0913317	0.144176	0.00107517	0.0100781	0.0400758	0.0295695	0	0	0.0166763	0	0.0495784	0	0.0418514	0	0.0314878	0.00516618	0	0.00266786	0	0.0216641
24	0.0191776	0	0.239536	0.419623	0	0.225059	0	4.68642e-4	0.0710269	0.0878612	0.00370779	0.032635	0.106299	0.0423524	0	0	0.0718171	0	0.172791	0	0.273416	0	0.115346	0.0284815	8.77556e-4	0.0127774	0	0.026538
25	0.00863467	0	0.19019070000000002	0.117532	0	0.056682	0	4.51457e-4	0.0719921	0.0678545	0.00245453	0.0273986	0.062231	0.00978304	0	0	0.182827	0	0.0501994	0	0.430445	0	0.101113	0.0128994	0.189616	0.00380451	0	0.0238966
26	0.00905967	0	0.1895195	0.117144	0.00161133	0.0812909	0	0	0.0686975	0.0841932	0.00265614	0.011609	0.055231	0.00891572	0	0	0.194692	0	0.0541862	0	0.394075	0	0.105298	0.00994196	0.170625	0.00625493	0	0.0252333
27	0.0128968	0	0.216395	0.222331	0	0.102166	0	3.10766e-4	0.0970477	0.114961	0.00559822	0.0227125	0.05002	0.0849945	0	0	0.0441421	0	0.075929	0	0.28919	0	0.0835117	0.0240311	0.00193119	0.00524306	0	0.0202753
28	0.0163909	0	0.2253521	0.414229	0	0.124853	0	0	0.0624159	0.182953	0.00467527	0.0157224	0.0510472	0.00504337	0	0	0.0567337	3.00402e-4	0.0983372	0	0.367252	0	0.113019	0	0.00117622	0.00795854	5.16184e-4	0.0187772
29	0.0156621	0	0.2099301	0.401782	0	0.129847	0	0	0.0576035	0.177691	0.00480271	0.0131687	0.0405955	0.00492859	0	0	0.0554055	5.22876e-4	0.100039	0	0.350487	0	0.112636	0	0.00166546	0.00659405	6.29388e-4	0.0182571
30	0.0114274	0	0.3527097	0.293842	0	0.105244	0	6.79103e-4	0.131784	0.173016	0.00413331	0.0163027	0.0338587	0.040503	0	0	0.0438441	0	0.0873821	0	0.157476	0	0.0780172	0.0115406	0	0.00396982	0	0.0199539
31	0.00502651	0	0.32124664000000003	0.156102	0.00598091	0.0492089	0	0	0.109001	0.0668717	0.00199364	0.0108335	0.0315928	0.0239279	0	0	0.0163097	2.20573e-4	0.039122	0	0.131292	0	0.031368	0.016789	0	0.00246023	0	0.00346978
32	0.0203073	0	0.18873140000000002	0.421101	0	0.200934	8.93855e-4	6.06544e-4	0.0440543	0.0166321	0.00586193	0.00809258	0.0155108	0.0161931	0	0	0.096261	0	0.126221	0	0.105914	0	0.139541	0.0108939	0.120319	0.00610934	7.22267e-4	0.00700319
33	0.00503587	0	0.3112777	0.0748027	0	0.0310359	0	8.16144e-4	0.0765785	0.0518251	0.001	0.00876682	0.0552197	0.026852	0	0	0.161596	0	0.0297848	0	0.97735	0	0.0928296	5.42601e-4	0	0.00167713	0	0.0302242
