,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'number']_match",terms
0,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC5768484\eupmc_result.json,PMC5768484,,"[This corrects the article on p. 192 in vol. 33, PMID: 29159167.].",NaN,[],[],NaN
1,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC7520598\eupmc_result.json,PMC7520598,,NaN,NaN,[],[],NaN
2,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC7801096\eupmc_result.json,PMC7801096,,"The first case of COVID-19 was identified in Libya on 24/3/2020, and about 2 months later, the number of reported COVID-19 cases started to increase notably. The outbreak was first prominent in the southern region (Sabha) and then spread to the western and eastern parts of Libya. By 24/12/2020, the reported total number of deaths from COVID-19 reached 1415. There seems to be no published data on the size of the epidemic in Libya. Here, we estimated the number of Libyans exposed to COVID-19 by using a COVID-19 mortality adjusted mathematical model for the spread of infectious diseases. We estimated that 14-20% of the Libyan population have been exposed to the COVID-19 pandemic. Thus, the risk of spread of COVID-19 infections during the coming months is high, and a considerable number of Libyans, particularly the elderly and people with chronic diseases, should be protected against COVID-19 infection. This is particularly urgent in the light of unofficial reports that the relevant healthcare facilities are under extreme stress.","['Modeling', 'Libya', 'Epidemic Spread', 'Covid-19']",[],[],NaN
3,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC7833043\eupmc_result.json,PMC7833043,"Ethics approval The study was approved by the King Khalid University Ethics Committee (approval number: ECM#2020-183–(HAPO-06-B-001), and no identifying personal information (e.g. name, age) or other sensitive data were collected. M = male students; F = female students Ethical approval The Ethical Committee of the Scientific Research, King Khalid University approved the study (approval number: ECM#2020-183–(HAPO-06-B-001) to use scores and absence rates, with no personal information of students disclosed.","The effects of the learning environment on academic performance can be investigated according to a broad range of factors using a diversity of approaches. Many differences in academic performance have been associated with the sex of the student.  Objectives : This study aims to understand the impact of absenteeism on the final grades earned by full-time medical laboratory sciences undergraduate students and whether this is affected by sex. Academic performance was analyzed using students' final grades from two consecutive semesters (January to April and September to December 2019). The differences between male (n = 43) and female (n = 72) students were evaluated by Pearson's correlation. During the semester, all teaching and assessment methods were standardized across both course sections to avoid confounding effects derived from the teaching method. Academic performance was assessed both objectively (multiple-choice questions) and subjectively (short essay questions). The mean scores of male and female students during two semesters were significantly different (p = 0.0180). To correlate marks with absenteeism, the correlation coefficient (r) was negative, which indicates an inverse correlation between absence rate and scores. Interestingly, a statistically significant correlation between absenteeism and final grades was found in the male sample population (p = 0.0011 for the first semester; p = 0.0255 for the second semester) that was not observed for their female counterparts (p = 0.2041; p = 0.1537). The results indicate that academic performance among women is not solely dependent on class attendance but likely involves other factors such as self-learning, and group discussion. The mean scores of female medical sciences students were significantly higher than the male students for two consecutive semesters. Male overall scores seem to be conditional on the instructor's explanation. This sex-based variation in academic performance revealed by taking absenteeism rate into account warrant further investigation.","['Sex', 'Grade', 'Absenteeism', 'Academic Performance', 'Self-learning']","['King Khalid', 'Khalid University', 'University Ethics', 'Ethics Committee', 'approval number', 'sensitive data', 'personal information', 'Ethics approval', 'ECM', 'Ethical Committee']","['ECM#2020-183–(HAPO-06-B-001),', 'ECM#2020-183–(HAPO-06-B-001)']",NaN
4,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC7971202\eupmc_result.json,PMC7971202,,NaN,NaN,[],[],NaN
5,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8009016\eupmc_result.json,PMC8009016,"Ethical consideration Approval 19-2, Rakuno Gakuen University Medical Research Ethics Review Committees for Human Subjects.",NaN,"['Sexual Violence', 'Gender Studies', 'Dv Consultation Plus', 'Domestic Violence In Japan']","['Rakuno Gakuen', 'Human Subjects', 'Gakuen University', 'University Medical', 'Medical Research', 'Research Ethics', 'Ethics Review', 'Review Committees', 'Approval 19-2', 'consideration Approval']",[],NaN
6,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8023627\eupmc_result.json,PMC8023627,"3.1. Ethical approval The study was approved by the institutional review board of the Princess Nourah Bint Abdulrahman University (IRB Approval Number: 20–0217). Ethics approval and consent to participate The data were obtained from the Saudi Ministry of Health and World Health Organization records and the study conducted under the approval of the Regional Directorate of Primary Health according to ethical standards with the maintenance of anonymity of each patient. Thus, all the data of patients was recorded without patients details, it was not necessary to obtain the personal consent of the study participants. The study was ethically approved by the institutional review board of the Princess Nourah Bint Abdulrahman University (IRB Approval Number: 20–0217).","The outbreak of corona virus disease (COVID-19) caused by the new severe acute respiratory syndrome corona virus 2 began in Wuhan, China, resulting in respiratory disorders. In January of 2020, the World Health Organization declared the outbreak a pandemic owing to its global spread. Because no studies have investigated COVID-19 in Saudi Arabia, this study investigated similarities and differences between demographic data during the COVID-19 and Middle East respiratory syndrome (MERS) outbreaks in Saudi Arabia. A retrospective trend analysis was performed to assess demographic data of all laboratory-confirmed MERS and COVID-19 cases. Patients' charts were reviewed for data on demographics, mortality, citizenship, sex ratio, and age groups with descriptive and comparative statistics; the data were analyzed using a non-parametric binomial test and chi-square test. Of all COVID-19 patients in Saudi Arabia,78%were male patients and 22% were female patients. This proportion of male COVID-19 patients was similar to that of male MERS patients, which also affected male patients more frequently than female patients. The number of COVID-19-positive Saudi cases was lower than that of non-Saudi cases, which were in contrast to that of MERS; COVID-19 appeared to be remarkably similar to MERS with respect to recovered cases. However, the numbers of critical and dead COVID-19 patients have been much lower than those of MERS patients. The largest proportion of COVID-19 and MERS cases (44.05% and 40.8%, respectively) were recorded in the Western region. MERS and COVID-19 exhibited similar threats to the lives of adults and the elderly, despite lower mortality rates during the COVID-19 epidemic. Targeted prevention of and interventions against MERS should be allocated populations according to the areas where they inhabit. However, much more information regarding the dynamics and epidemiology of COVID-19 in Saudi Arabia is needed. Abbrevation  : MERS: Middle East Respiratory syndrome; COVID-19: Corona Virus Disease 2019.","['Saudi Arabia', 'Respiratory Illness', 'Mers', 'Covid-19']","['Abdulrahman University', 'Princess Nourah', 'Nourah Bint', 'Bint Abdulrahman', 'IRB Approval', 'Approval Number', 'approval', 'World Health', 'Health Organization', 'Primary Health']",[],NaN
7,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8097195\eupmc_result.json,PMC8097195,"Ethics The authors confirm that ethical guidelines for archival data analysis, as outlined by the University of Cambridge were followed.","Making decisions over extended periods of time is cognitively taxing and can lead to decision fatigue, which is linked to a preference for the 'default' option, namely whatever decision involves relatively little cognitive effort. Such effects have been demonstrated across a number of applied settings, including forensic and clinical contexts. Previous research, however, has not quantified the cost of such suboptimal decisions. We assessed the magnitude of the negative consequences of decision fatigue in the finance sector. Using 26 501 credit loan applications evaluated by credit officers of a major bank, we show that in this real-life financial risk-taking context credit loan approvals across the course of a day decreased during midday compared with early or later in the workday, reflecting a preference for the default option. To quantify the economic loss associated with such decision variability, we then modelled the bank's additional credit collection if all decisions had been made during early morning levels of approval. This would have resulted in $509 023 extra revenue for the bank, for one month. Thus, we provide further evidence that is consistent with a pattern of decision fatigue, and that it can have a substantial negative impact in the finance sector that warrants considerations to counteract it.","['Decision Making', 'risk', 'Finance', 'Ego Depletion', 'Decision Fatigue']","['data analysis', 'authors confirm', 'ethical guidelines', 'archival data', 'University', 'Cambridge', 'Ethics', 'analysis', 'authors', 'confirm']",[],NaN
8,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8132139\eupmc_result.json,PMC8132139,," Importance Several studies have estimated the financial inputs for successful drug development. Such analyses do not capture the large investment that patient study participants commit to drug development. Objective To estimate the volume of patients required to achieve a first US Food and Drug Administration (FDA) approval for a new anticancer drug or biologic therapy. Design, setting, and participants This cohort study included a random sample of prelicense oncology drugs and biologics with a trial site in the United States that were launched into clinical efficacy testing between January 1, 2006, and December 31, 2010. Drugs and biologics were identified using ClinicalTrials.gov registration records. Total patient enrollment was captured over an 8-year span, and each intervention was classified based on whether it received FDA approval and was deemed as having intermediate or substantial value according to the American Society of Clinical Oncology Value Framework (ASCO-VF) score. Secondarily, the association between patient numbers and intervention characteristics was tested. Data were analyzed in February 2020. Main outcomes and measure The prespecified primary outcome was the number of patients enrolled in prelicense trials per FDA approval. Results A total of 120 drugs and biologics were included in our study, with 84 (70.0%) targeted agents, 20 (16.7%) immunotherapies, and 71 (59.2%) novel agents. A total of 13 drugs and biologics (10.8%; 95% CI, 5.3%-16.8%) in our sample gained FDA approval within 8 years, of which 1 (7.7%) was deemed of intermediate value and 3 (23.1%) were deemed of substantial value using ASCO-VF scoring. Overall, 158 810 patients were enrolled in 1335 trials testing these drugs and biologics, 47 913 (30.2%) in trials that led to FDA approval and 110 897 (69.8%) in trials that did not. An estimated 12 217 (95% CI, 7970-22 215) patient study participants contributed to prelicense trials per FDA approval. The estimated number of patients needed to produce a single FDA-approved drug or biologic of intermediate or substantial ASCO-VF clinical value was 39 703 (95% CI, 19 391-177 991). Conclusions and relevance The results of this cohort study make visible the substantial patient investment required for prelicense oncology drug development. Such analyses can be used to devise policies that maximize the clinical impact of research on a per-patient basis.",NaN,[],[],NaN
9,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8185902\eupmc_result.json,PMC8185902,,[This corrects the article DOI: 10.3892/ol.2021.12492.].,NaN,[],[],NaN
10,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8191002\eupmc_result.json,PMC8191002,," Background Orphan drug designations are a useful proxy to investigate trends in rare disease drug development. Drug developers must receive a designation before they are eligible for the economic incentives of the Orphan Drug Act in the United States. We created a database of all orphan drugs designated between 1983 and 2019 that included numerous drug characteristics, including therapeutic area. In addition, we constructed a ""broad disease"" categorization of designations as an alternative to therapeutic area, based on disease etiology and age of onset rather than organ system. By looking at the pattern of orphan drug designations over the past four decades, this analysis studied the impact of the evolving rare disease drug development landscape and considers the future of rare disease therapies over the coming decades. Results Between 1983 and 2019, a total of 5099 drugs and biologics received orphan drug designation. Designations more than doubled between the 1980s and 1990s, almost doubled between the 1990s and 2000s, and almost tripled in number between the 2000s and 2010s. The top three therapeutic areas represented in the orphan drug designations were: oncology (1910, 37%), neurology (674, 13%), and infectious diseases (436, 9%). The broad disease categorization found that the proportion of designations for pediatric-onset diseases has increased in the most recent decade to 27%. Conclusions Analysis of the last four decades of orphan drug designation indicates seismic shifts have occurred in the rare disease drug development space. The number of designations granted more than quadrupled between the 1990s and 2010s. While these substantial increases led to growth in the absolute number of designations within all therapeutic areas (bar one) and broad disease categories, the relative proportions have seen considerable change over time. In the most recent decade, there have been notable increases in the proportion of drugs in oncology, pediatric-onset diseases, and neurologic disorders. The dramatic rise in overall orphan designations over the past four decades suggests we may continue to see an upward trajectory in designations leading to an increased number of approvals for drugs and biologics designed specifically for diagnosing, preventing, and treating rare diseases in the coming decades.","['Oncology', 'Pediatric', 'Orphan Drug Act', 'Rare Disease', 'Orphan Drugs', 'Us Food And Drug Administration', 'Orphan Drug Designation']",[],[],NaN
11,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8193429\eupmc_result.json,PMC8193429,," Importance After US Food and Drug Administration (FDA) approval of a new drug, sponsors can submit additional clinical data to obtain supplemental approval for use for new indications. Objective To characterize pivotal trials supporting recent supplemental new indication approvals of drugs and biologics by the FDA and to compare them with pivotal trials that supported these therapeutics' original indication approvals. Design, setting, and participants This is a cross-sectional study characterizing pivotal trials supporting supplemental indication approvals by the FDA between 2017 and 2019 and pivotal trials that supported these therapeutics' original indication approvals. Data analysis was performed from August to October 2020. Main outcomes and measures Number and design of pivotal trials supporting both supplemental and original indication approvals. Results From 2017 to 2019, the FDA approved 146 supplemental indications for 107 therapeutics on the basis of 181 pivotal efficacy trials. The median (interquartile range) number of trials per supplemental indication was 1 (1-1). Most trials used either placebo (77 trials [42.5%; 95% CI, 35.6%-49.8%]) or active comparators (65 trials [35.9%; 95% CI, 29.3%-43.1%]), and most of these multigroup trials were randomized (141 trials [99.3%; 95% CI, 96.0%-100.0%]) and double-blinded (106 trials [74.5%; 95% CI, 66.6%-81.0%]); 80 trials (44.2%; 95 CI, 37.2%-51.5%) used clinical outcomes as the primary efficacy end point. There was no difference between oncology therapies and those approved for other therapeutic areas to have supplemental indication approvals be based on at least 2 pivotal trials (11.5% vs 20.6%; difference, 9.1%; 95% CI, 2.9%-21.0%; P = .10). Similarly, there was no difference in use of randomization (98.3% vs 100.0%; difference, 1.7%; 95% CI, 1.6%-5.0%; P = .43) among multigroup trials, although these trials were less likely to be double-blinded (50.8% vs 92.3%; difference, 41.5%; 95% CI, 27.4%-55.5%; P  Conclusions and relevance These findings suggest that the number and design of the pivotal trials supporting supplemental indication approvals by the FDA varied across therapeutic areas, with the strength of evidence for cancer indications weaker than that for other indications. There was little difference in the design characteristics of the pivotal trials supporting supplemental indication and original approvals.",NaN,[],[],NaN
12,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8220494\eupmc_result.json,PMC8220494,," Importance Medical device companies submit premarket approval (PMA) statements to the US Food and Drug Administration (FDA) for approval of the highest-risk class of devices. Devices indicated for the pediatric population that use the PMA pathway have not been well characterized or analyzed. Objective To identify and characterize high-risk devices with pediatric age indications derived from PMA statements. Design, setting, and participants In this cross-sectional study of PMA statements, those statements containing the words indicated or intended for medical devices listed in the FDA PMA database as of February 2020 were retrieved. Age indications were manually annotated in these approval statements via PubAnnotation. Based on the PMA identification from the PMA statements, device metadata including product codes, regulation numbers, advisory panels, and approval dates were queried. Main outcomes and measures The main outcome was discernment of the distribution of devices indicated for the pediatric population (neonate, infant, child, and adolescent). Secondary measures included outlining the clinical specialties, device types, and lag time between the initial approval date and the first date of an approval statement with a pediatric indication for generic device categories. Results A total of 297 documents for 149 unique devices were analyzed. Based on the manual age annotations, 102 devices with a pediatric indication, 10 with a neonate age indication, 32 with an infant age indication, 60 with a child age indication, and 94 with an adolescent age indication were identified. For indications for patients from age 17 to 18 years, the number of devices available nearly doubled from 42 devices to 81 devices. Although more than half of the surveyed devices had a pediatric age indication, many were available only for a limited range of the pediatric population (age 18-21 years). For indications for patients from age 0 to 17 years, the mean (SD) number of clinical specialties at each age was 7.27 (1.4), and 12 clinical specialties were represented from ages 18 to 21 years. Conclusions and relevance In this cross-sectional study on device PMA statements, a gap was identified in both quantity and diversity of high-risk devices indicated for the pediatric population. Because the current scarcity of pediatric devices may limit therapeutic possibilities for children, this study represents a step toward quantifying this scarcity and identifying clinical specialties with the greatest need for pediatric device innovation and may help inform future device development efforts.",NaN,[],[],NaN
13,C:\Users\shweata\crops\metadata_analysis\corpus\approval_number\PMC8253834\eupmc_result.json,PMC8253834,,"Some liver nodules remain indeterminate despite hepatocyte-specific contrast MRI in patients with colorectal liver metastasis (CRLM). Our objective was to study the natural course and evaluate possible treatment strategies for indeterminate nodules. We retrospectively evaluated patients in whom MRI revealed 'indeterminate' or 'equivocal' nodules between January 2008 and October 2018. Patients were followed up until October 2019 or until death (median, 18 months; (1-130 months)). The incidence of patients with indeterminate nodules on MRI was 15.4% (60 of 389). The sensitivity and specificity of intraoperative ultrasound for detecting indeterminate nodules were 73.68% and 93.75%, respectively, with a positive predictive value of 96.6%. Over half of the patients followed up had benign nodules (58.8%). By comparing characteristics of patients with benign or malignant nodules in the follow up group, the ratio of positive lymph nodes to total number of lymph nodes resected (pLNR) was significantly greater in patients with malignant nodules (P = 0.006). Intraoperative ultrasound could be considered as an adjunct to MRI in patients with indeterminate nodules owing to its high positive predictive value. The pLNR could be used to help select which patients can undergo conservative therapy, at least in metachronous CRLM.",NaN,[],[],NaN
