,metadata_json,PMCIDS,ethic,abstract,keywords,yake_keywords,"['number:', 'no.', 'No.', 'number']_match",terms
0,C:\Users\shweata\ethics_statement_2000_generic\PMC6335119\eupmc_result.json,PMC6335119,,"[This corrects the article e327 in vol. 33, PMID: 30505258.].",[],[],[],NaN
1,C:\Users\shweata\ethics_statement_2000_generic\PMC6877437\eupmc_result.json,PMC6877437,,NaN,[],[],[],NaN
2,C:\Users\shweata\ethics_statement_2000_generic\PMC7059585\eupmc_result.json,PMC7059585,,"Internet addiction is associated with an increased risk of suicidal behavior and can lead to brain dysfunction among adolescents. However, whether brain dysfunction occurs in adolescents with Internet addiction who attempt suicide remains unknown. This observational cross-sectional study enrolled 41 young Internet addicts, aged from 15 to 20 years, from the Department of Psychiatry, the First Affiliated Hospital of Chongqing Medical University, China from January to May 2018. The participants included 21 individuals who attempted suicide and 20 individuals with Internet addiction without a suicidal attempt history. Brain images in the resting state were obtained by a 3.0 T magnetic resonance imaging scanner. The results showed that activity in the gyrus frontalis inferior of the right pars triangularis and the right pars opercularis was significantly increased in the suicidal attempt group compared with the non-suicidal attempt group. In the resting state, the prefrontal lobe of adolescents who had attempted suicide because of Internet addiction exhibited functional abnormalities, which may provide a new basis for studying suicide pathogenesis in Internet addicts. The study was authorized by the Ethics Committee of Chongqing Medical University, China (approval No. 2017 Scientific Research Ethics (2017-157)) on December 11, 2017.","['Brain activity', 'Functional magnetic resonance imaging', 'Resting state', 'Adolescents', 'Suicidal Attempt', 'Internet Addiction', 'Amplitude Of Low-frequency Fluctuation', 'Prefrontal Lobe']",[],[],NaN
3,C:\Users\shweata\ethics_statement_2000_generic\PMC7161096\eupmc_result.json,PMC7161096,"Ethical issues raised by the PolyIran trial Justification for the use of a cluster randomized design As cluster randomized designs are statistically inefficient and prone to bias, their use requires justification (TableÂ  1). In this case, residents of the villages in northern Iran have close familial relationships and residents commonly share medicines with one another. Therefore, the issue of contamination was a major concern. A cluster randomized design in which the village was the cluster was chosen to mitigate the risk of contamination through pill sharing [ 20]. Obtaining informed consent from trial participants Although the PolyIran trial is a CRT, the trial interventions (polypill tablet and nonpharmacological prevention) were offered to all village residents over the age of 50â€‰years. As the study intervention is delivered at the level of the individual, the trial is an individual-cluster trial. In individual-cluster trials, it is typically feasible to obtain the informed consent of participants. Thus, in the PolyIran trial, informed consent was obtained for the polypill and augmented care interventions and use of outcome data. The high illiteracy rate in the study population (almost 80%) [ 22] presented a challenge to obtaining informed consent. Research staff who are native Turkmen speakers were trained to obtain informed consent, provided information verbally to participants, and answered any questions. Research staff then documented the disclosure and the participantâ€™s consent (or refusal) to participation in the PolyIran trial. Members of the Golestan cohort study provided informed consent for the collection and use of data within the cohort study, but they did not provide consent for their data to be used in the PolyIran trial. Consequently, Golestan study cohort members who were randomly selected for the comparator cohort neither provided their permission nor were they aware that their data were to be used in the PolyIran trial. While the outcome data collection was identical between the two studies, both studies have differing purposes and objectives. After deliberation, the research ethics committee responsible for the PolyIran study concluded that no additional consent was required from Golestan study cohort members to use their outcome data in the PolyIran trial. Dealing with current clinical practice in the study population As with many trials conducted in LMICs, recruitment for the PolyIran trial was not undertaken in conjunction with the participants’ primary or secondary care physician, but rather through a separate and study-specific group of physicians. Some participants were already receiving treatment for cardiovascular disease. For control arm participants, their medications were recorded. However, for intervention arm participants, the researchers sent a letter to patients’ physicians explaining the trial and the composition of the polypill tablet. In case of medication duplication, physician were asked to adjust participants’ prescribed medications accordingly. All changes to medications were recorded for future follow-up and analysis. Post-trial access to the study interventions It is widely acknowledged that, particularly in an LMIC setting, participants should have access to a trial intervention when it is found to be effective [ 23]. In the PolyIran trial, if the polypill is shown to be safe and effective, it is anticipated that it will be provided to participants in the polypill and augmented care trial arms for 5 years. However, for how long should the polypill tablet be provided to participants at the expense of the researchers and sponsor? Naturally, there are concerns regarding feasibility of this decision for long-term access. Added complications follow when considering the issue of whether members of the Golestan cohort study selected for the comparator cohort should be provided with the study intervention should it be found to be effective. Not only does this have larger resource and cost implications, but also as their informed consent for data use in the PolyIran trial was not obtained, comparator cohort participants were not aware of the trial. It was decided that members of the comparator cohort would not be provided with the polypill tablet after completion of the trial. Research ethics committee review Consistent with other international ethics documents, the Ottawa Statement requires that all CRTs be submitted to a research ethics committee (TableÂ  1). The PolyIran trial was reviewed and approved by the research ethics committee of the Digestive Diseases Research Institute at the Tehran University of Medical Sciences in Iran. In its review, the research ethics committee did not refer to the Ottawa Statement. However, the research ethics committee had reviewed CRTs before and is knowledgeable about cluster randomized designs. Research ethics committee review Consistent with other international ethics documents, the Ottawa Statement requires that all CRTs be submitted to a research ethics committee (TableÂ  1). The PolyIran trial was reviewed and approved by the research ethics committee of the Digestive Diseases Research Institute at the Tehran University of Medical Sciences in Iran. In its review, the research ethics committee did not refer to the Ottawa Statement. However, the research ethics committee had reviewed CRTs before and is knowledgeable about cluster randomized designs. Ethical issues raised by the PASTAL trial Justification of the use of an adaptive cluster randomized design The study interventions (letters, self-test kits and financial incentives) are administered at the level of the individual and thus, in principle, an individually randomized trial is possible. However, for administrative and logistical reasons, and concerns over contamination, a cluster randomized design was preferred [ 44]. Obtaining informed consent from trial participants Although the PASTAL trial is a CRT, the unit of intervention is the individual. Accordingly, the written informed consent of all female participants was obtained. On each day of recruitment, trial staff provided women attending the antenatal care clinic with general information about the trial. The intervention to which the antenatal care clinic day had been randomized was not disclosed to the woman. After women completed their antenatal care visit, they met one-on-one with a trial staff member who screened them for eligibility and completed the informed consent process and disclosed the trial arm. While male partners of the female participants were the direct targets of the intervention, their consent to participate was not obtained. A waiver of consent for male participants was sought and granted by the research ethics committee. The waiver of consent was sought for logistical reasons (male partners typically did not accompany women to the antenatal clinic) and scientific reasons (willingness to consent was thought to be correlated with subsequent clinic attendance, the primary outcome measure). A number of concerns might be raised about this approach. First, it compromises the autonomy of male partners. Second, it may pose a risk to women in the study if male partners discover they were enrolled without their consent, as the prevalence of intimate partner violence is high in the region [ 45]. Having conducted an interim analysis that showed the usual care arm to be suboptimal, was there equipoise to justify continuation to the second stage of the trial? The original sample size calculation assumed that the usual care arm would have 25% of male partners achieving testing for HIV [ 46]. The analysis at the end of stage one revealed this proportion in the usual care arm was just 13%. Given that so few men in the usual care arm were undergoing HIV testing, data safety and monitoring board members debated whether the usual care should be carried forward to the second stage or dropped. The need to include a usual care arm is a contentious issue not only in adaptive trial designs; not including a usual care arm would mean the trial would be unable to provide a direct comparison to the care provided routinely outside of the trial, limiting its applicability to the local population. Post-trial access to study interventions In the past 10 years, there has been considerable interest in behavioral economics interventions, such as financial incentives, to improve HIV outcomes [ 47]. The PASTAL trial found that only the two fixed financial incentive interventions of $3 and $10 significantly improved the primary outcome. However, local policy makers remain unwilling to scale up these programs despite the strong evidence in favor of their effectiveness. This raises the question of sustainability or indeed whether there is social value in conducting trials with these types of interventions in contexts where routine implementation cannot be guaranteed. To what degree a trial must begin with assurances that effective interventions will be implemented is a question requiring further reflection and guidance. Research ethics committee review The PASTAL trial was reviewed and approved by the College of Medicine Research Ethics Committee in Malawi, and the London School of Hygiene & Tropical Medicine Ethics Committee in London, UK. In their reviews, neither research ethics committee referred to the Ottawa Statement. However, both research ethics committees have reviewed CRTs previously and are knowledgeable about cluster randomized designs. Research ethics committee review The PASTAL trial was reviewed and approved by the College of Medicine Research Ethics Committee in Malawi, and the London School of Hygiene & Tropical Medicine Ethics Committee in London, UK. In their reviews, neither research ethics committee referred to the Ottawa Statement. However, both research ethics committees have reviewed CRTs previously and are knowledgeable about cluster randomized designs."," Background Cluster randomized trials are common in health research in low- and middle-income countries raising issues that challenge interpretation of standard ethical guidelines. While the Ottawa Statement on the ethical design and conduct of cluster randomized trials provides guidance for researchers and research ethics committees, it does not explicitly focus on low- and middle-income settings. Main body In this paper, we use the lens of the Ottawa Statement to analyze two cluster randomized trials conducted in low- and middle-income settings in order to identify gaps or ethical issues requiring further analysis and guidance. The PolyIran trial was a parallel-arm, cluster trial examining the effectiveness of a polypill for prevention of cardiovascular disease in Golestan province, Iran. The PASTAL trial was an adaptive, multistage, parallel-arm, cluster trial evaluating the effect of incentives for human immunodeficiency virus self-testing and follow-up on male partners of pregnant women in Malawi. Through an in-depth case analysis of these two studies we highlight several issues in need of further exploration. First, standards for verbal consent and waivers of consent require methods for operationalization if they are to be employed consistently. Second, the appropriate choice of a control arm remains contentious. Particularly in the case of implementation interventions, locally available care is required as the comparator to address questions of comparative effectiveness. However, locally available care might be lower than standards set out in national guidelines. Third, while the need for access to effective interventions post-trial is widely recognized, it is often not possible to guarantee this upfront. Clarity on what is required of researchers and sponsors is needed. Fourth, there is a pressing need for ethics education and capacity building regarding cluster randomized trials in these settings. Conclusion We identify four issues in cluster randomized trials conducted in low- and middle-income countries for which further ethical analysis and guidance is required.","['Informed consent', 'Ethics', 'Research Ethics', 'Equipoise', 'Low- And Middle-income Countries', 'Cluster Randomized Trial', 'Research Ethics Committee', 'Post-trial Access']","['research ethics', 'ethics committee', 'trial', 'PolyIran trial', 'ethics', 'Research', 'committee', 'informed consent', 'Ottawa Statement', 'PASTAL trial']",['of'],NaN
4,C:\Users\shweata\ethics_statement_2000_generic\PMC7249408\eupmc_result.json,PMC7249408,,An amendment to this paper has been published and can be accessed via the original article.,[],[],[],NaN
5,C:\Users\shweata\ethics_statement_2000_generic\PMC7250184\eupmc_result.json,PMC7250184,,NaN,[],[],[],NaN
6,C:\Users\shweata\ethics_statement_2000_generic\PMC7250441\eupmc_result.json,PMC7250441,,"BACKGROUND AND AIMS:Psychologic stress can affect the pathogenesis of inflammatory bowel disease (IBD), but the precise contribution of psychologic stress to IBD remains unclear. We investigated the association of psychologic stress with disease activity in patients with IBD, especially in terms of mental state and sleep condition. METHODS:This was a multi-center observational study comprising 20 institutions. Data were collected using survey forms for doctors and questionnaires for patients, and the association of psychologic stress with clinical parameters was investigated. Mental state was evaluated using the Center for Epidemiologic Studies Depression (CES-D) scale, and sleep condition was evaluated by querying patients about the severity of insomnia symptoms. RESULTS:A total of 1078 IBD patients were enrolled, including 303 patients with Crohn's disease and 775 patients with ulcerative colitis. Seventy-five percent of IBD patients believed that psychologic stress triggered an exacerbation of their disease (PSTE group) and 25% did not (non-PSTE group). The CES-D scores were significantly higher for patients with clinically active disease than for those in remission in the PSTE group (median (interquartile range) = 7 (4-9.5) vs. 5 (3-7), p < .0001), but not in the non-PSTE group (5 (2-8) vs. 4 (3-7), p = 0.78). Female sex and disease exacerbation by factors other than psychologic stress were independent factors of psychologic stress-triggered disease exacerbation. Also, patients with insomnia had higher disease activity than those without insomnia, especially in the PSTE group. CONCLUSIONS:A worsened mental state correlates with disease activity in IBD patients, especially those who believe that their disease is exacerbated by psychologic stress.",[],[],[],NaN
7,C:\Users\shweata\ethics_statement_2000_generic\PMC7268522\eupmc_result.json,PMC7268522,,"BACKGROUND:What can the analysis of the evolution of a code of ethics tell us about the dental profession and the association that develops it? The establishment of codes of ethics are foundational events in the social history of a profession. Within these documents it is possible to find statements of values and culture that serve a variety of purposes. Codes of ethics in dentistry have not frequently presented as the subjects of analyses despite containing rich information about the priorities and anxieties within the profession's membership at the time that the code was written. MAIN TEXT:This essay uses critical discourse analysis to explore the 2012 and 2018 versions of the Code of Ethics produced by the New South Wales Branch of the Australian Dental Association. This method of discourse analysis examines contradictions between the discourses within the codes and how these relate to broader social realties that surround the dental profession in New South Wales. By analysing the 2012 and 2018 codes together, it is possible to understand how the dental profession views its commitments to society as established through the social contract. Through this assessment, it will be demonstrated that both codes suffer due to their failure to consider the public as a key stakeholder in the creation and curation of the Code of Ethics and how this this relates intimately with the social contract between the profession and the public. CONCLUSION:Without the public being the central consideration, both codes amount to declarations of professional privilege and dominance. Although the more recent 2018 Code of Ethics demonstrates insight into the changes in public trust placed in the professions, this analysis shows that that the current code of ethics is still reluctant to recognise and engage with the public as an equal stakeholder in the planning and provision of oral health care and the development of the profession's values and cultural trajectory.","['Sociology', 'Dentistry', 'Code Of Ethics', 'Professionalism', 'Critical Discourse Analysis']",[],[],NaN
8,C:\Users\shweata\ethics_statement_2000_generic\PMC7296631\eupmc_result.json,PMC7296631,,An amendment to this paper has been published and can be accessed via the original article.,[],[],[],NaN
9,C:\Users\shweata\ethics_statement_2000_generic\PMC7298492\eupmc_result.json,PMC7298492,Ethical statement The authors would like to thank the Research and Technology Deputy of Arak University of Medical Sciences for their ethical assessment and administrative support to undertake this project.,NaN,"['Primary Health Care', 'Covid-19']","['Technology Deputy', 'Arak University', 'Medical Sciences', 'administrative support', 'Ethical statement', 'ethical assessment', 'Research', 'Technology', 'Deputy', 'Arak']",[],NaN
