,result ,yake_keywords,entities,TPS_match,Camellia_match,terms
0,"The volatiles of  A. millefolium detected in the emission blends were mostly monoterpenes (67% of total emissions for flowers and 59% of total emissions for leaves, and 21 compounds were above the detection threshold) and sesquiterpenes (17% for flowers and 19% for leaves, and 18 compounds were above the detection threshold, Table  2). In addition, lipoxygenase pathway volatiles (2% of total emissions for flowers and 11% of total emissions for leaves) and benzenoids, aliphatic compounds and their derivatives were found in minor proportions (Table  2). Among all the emitted compounds, β-pinene (36% of monoterpenes), ( E)-β-caryophyllene and germacrene D (Table  3) were the main floral and leaf volatiles.","['total emissions', 'detection threshold', 'emission blends', 'millefolium detected', 'Table', 'total', 'emissions', 'leaves', 'threshold', 'flowers']",[lipoxygenase],[],[],NaN
1,"Germacrene A is heat-labile and is converted to β-elemene upon heating (De Kraker et al.,  1998). First, we used the roots of chicory ( C. intybus) known to contain and emit germacrene A for optimization of sampling and GC analysis protocols. Based on this work, a GC injector temperature of 150°C was used in all GC-MS analyses, resulting in a significantly increased fraction of germacrene A detected compared to β-elemene, although a large part of germacrene A was still converted to β-elemene (Figure  3). Germacrene A mass-spectrum of  in vitro analyses of  AmGAS with FDP as substrate matched with the published spectrum, except for differences in the proportions of mass-fragments of 79 and 81 (Figures  3C,D). In earlier studies we have noticed similar differences with the identification of some sesquiterpenes using authentic standards, e.g., identification of germacrene D, suggesting that these minor differences were specific to the GC-MS device used.","['Germacrene', 'Kraker', 'β-elemene', 'emit germacrene', 'converted', 'heating', 'differences', 'heat-labile', 'analysis protocols', 'Figure']","[°C, FDP, mass-fragments]",[],[],NaN
2,"Average germacrene A emission was between ca. 0.4 and 2.3% of total sesquiterpene emission in  A. millefolium (Table  3). Assuming further that β-elemene detected in the emission blend is the conversion product of germacrene A, the emission estimates are ca. 1% for flowers and 7% for leaves (Table  3), suggesting that germacrene A is a minor component in the volatile blend of flowers, and a moderately high component in leaf sesquiterpene emissions (Table  3).","['Table', 'Average germacrene', 'emission', 'germacrene', 'Average', 'sesquiterpene', 'blend', 'component', 'sesquiterpene emission', 'total sesquiterpene']",[],[],[],NaN
3,"Next to the emissions we evaluated also the chemical composition and content of terpenoids in bud, flower and leaf extracts of  A. millefolium. We observed statistically similar amounts (10.6 ± 2.4 μg g −1 DW) of germacrene A in bud, flower and leaf extracts of  A. millefolium.","['leaf extracts', 'chemical composition', 'bud', 'flower', 'millefolium', 'leaf', 'extracts', 'similar amounts', 'emissions', 'evaluated']",[μg g −1 DW)],[],[],NaN
4,"AmGAS partial sequence was amplified by degenerate primers (green boxes in Figure  2 show position of the degenerate primers) and then the full length was obtained by 5′ and 3′ amplification of cDNA ends (RACE-PCR). The length of the coding sequence of  AmGAS is 1680 bp, and it encodes a protein of 559 AA residues with the predicted molecular weight of 62 kD and isoelectric point (pI) of 5.24  http://web.expasy.org/compute_pi/). The overall length and lack of the characteristic chloroplast-targeting signal peptide suggests that  AmGAS is functional in the cytosol.","['degenerate primers', 'green boxes', 'show position', 'cDNA ends', 'partial sequence', 'AmGAS partial', 'primers', 'full length', 'degenerate', 'Figure']","[AmGAS, 5′, 3′, chloroplast-targeting signal peptide]",[],[],NaN
5,"The blast searches in NCBI and UniProtKB showed that  AmGAS belongs to terpenoid synthase (TPS) gene subfamily TPS-a (Bohlmann et al.,  1998), and has a high similarity with germacrene A synthases of two other members of Asteraceae,  T. parthenium (F8UL80) and  A. annua (I3WAC7) (Figure  1). Multiple sequence alignment of AmGAS amino acid sequences for several additional Asteraceae family members further showed conserved motifs of terpenoid synthases (Figure  2). Nevertheless, AmGAS also has a relatively high homology with other sesquiterpene synthases from Asteraceae, while the similarity is much less with other TPS-a gene subfamily members in other angiosperms (Figure  1).","['Figure', 'blast searches', 'TPS', 'Bohlmann', 'NCBI', 'Asteraceae', 'UniProtKB showed', 'gene subfamily', 'AmGAS belongs', 'additional Asteraceae']","[NCBI, UniProtKB, F8UL80, AmGAS]","['(TPS)', 'TPS-a', 'TPS-a']",[],terpene synthase
6,Recombinant protein expression after induction was analyzed by SDS-PAGE and western blotting. Analysis of the recombinant protein expression by SDS-PAGE demonstrated a protein band at around 62 kD in induced recombinant strain samples containing pET-26b (+) plus  AmGAS. This band corresponding to the calculated molecular mass of AmGAS protein was not observed in negative control and non-induced samples (Figure  4A). The western blotting also confirmed the expression (Figure  4B).,"['Figure', 'Recombinant protein', 'protein', 'protein expression', 'Recombinant', 'expression', 'western blotting', 'SDS-PAGE', 'SDS-PAGE demonstrated', 'induction']","[pET-26b, AmGAS]",[],[],NaN
7,"Functional characterization of AmGAS  in vitro was carried out by incubation with farnesyl diphosphate (FDP), the substrate for sesquiterpenes, and geranyl diphosphate (GDP) and neryl diphosphate (NDP), the substrates for synthesis of monoterpenes. Incubation with FDP yielded β-elemene and germacrene A as the main volatiles in the headspace with minor contributions of α- and β-selinene (Table  3, Figure  3). The percentage of germacrene A detected was greater for lower injector temperature (Figure  3), again suggesting that the bulk of β-elemene might reflect the heat conversion of germacrene A.","['farnesyl diphosphate', 'geranyl diphosphate', 'neryl diphosphate', 'Functional characterization', 'diphosphate', 'GDP', 'NDP', 'FDP yielded', 'Figure', 'FDP']","[FDP, geranyl diphosphate, FDP, β-elemene, α-, β-selinene (Table]",[],[],NaN
8,"Incubation of AmGAS with GDP produced mainly aliphatic monoterpenes myrcene and  Z- and  E-β-ocimene, but cyclic monoterpenes limonene and terpinolene were also produced at moderately high levels (Figure  5A, Table  4). AmGAS with NDP produced mainly limonene and terpinolene (Figure  5B, Table  4).","['high levels', 'GDP produced', 'moderately high', 'Figure', 'Table', 'aliphatic monoterpenes', 'monoterpenes myrcene', 'cyclic monoterpenes', 'monoterpenes limonene', 'GDP']",[AmGAS],[],[],NaN
9,"When equimolar concentrations of GDP and NDP were provided, AmGAS produced only monoterpenes (Figure  5C). With GDP and FDP or NDP and FDP, AmGAS produced both mono- and sesquiterpenes, whereas monoterpene production was favored over sesquiterpene production (Figures  5D,E).","['AmGAS produced', 'equimolar concentrations', 'Figure', 'Figures', 'GDP', 'AmGAS', 'NDP', 'FDP', 'produced', 'provided']","[AmGAS, FDP, FDP, AmGAS]",[],[],NaN
