Scientific Name,Abbreviation,Wikidata ID
Abies alba,Aa,Q146992
Abies balsamea,Ab,
Abies borisii-regis,Ab,Q149327
Abies cephalonica,Ac,Q854892
Abies grandis,Ag,
Abies sachalinensis,As,Q1520125
Acacia caven,Ac,Q3299543
Acacia nuperrima,An,Q9567461
Acalypha segetalis,As,Q9575325
Acer yangbiense,Ay,
Achillea abrotanoides,Aa,Q14946568
Achillea ageratum,Aa,Q285796
Achillea alexandri-regis,Aa,Q15585589
Achillea atrata,Aa,Q362318
Achillea biebersteinii,Ab,Q15260715
Achillea chrysocoma,Ac,Q15585914
Achillea clavennae,Ac,Q878976
Achillea clypeolata,Ac,Q15586366
Achillea coarctata,Ac,Q15583890
Achillea collina,Ac,Q15257146
Achillea crithmifolia,Ac,Q15586894
Achillea filipendulina,Af,Q383705
Achillea goniocephala,Ag,Q15584736
Achillea holosericea,Ah,Q15586077
Achillea lingulata,Al,Q15585943
Achillea millefolium,Am,Q25408
Achillea nobilis,An,Q1285422
Achillea oligocephala,Ao,Q12234011
Achillea pseudoaleppica,Ap,Q15585297
Achillea schischkinii,As,Q15585800
Achillea sieheana,As,Q15586950
Achillea stricta,As,Q38699594
Achillea talagonica,At,Q15587094
Achillea tenuifolia,At,Q15587699
Achillea vermicularis,Av,Q15590859
Acorus calamus,Ac,Q158008
Actinidia chinensis,Ac,Q163522
Aegilops tauschii,At,
Aeollanthus myrianthus,Am,Q15338739
Aeollanthus parvifolius,Ap,Q15339157
Aeollanthus pubescens,Ap,Q15339572
Aeollanthus suaveolens,As,Q15339026
Aframomum citratum,Ac,Q15317883
Aframomum corrorima,Ac,Q4689432
Aframomum exscapum,Ae,Q15318252
Aframomum letestuanum,Al,Q15318723
Aframomum melegueta,Am,Q1503476
Aframomum pruinosum,Ap,Q15318559
African blue,Ab,
Agastache foeniculum,Af,Q1264088
Ageratina havanensis,Ah,Q4692124
Ageratum conyzoides,Ac,Q1949712
Ajuga chamaecistus,Ac,Q15339458
Ajuga chamaepitys,Ac,Q158310
Alchemilla alpina,Aa,Q162477
Alkanna orientalis,Ao,Q12234590
Allamanda cathartica,Ac,Q1345632
Allium sativum,As,Q23400
Alococarpum erianthum,Ae,Q4734111
Aloysia gratissima,Ag,Q2421262
Aloysia triphylla,At,Q52626960
Alpinia calcarata,Ac,Q13111964
Alpinia galanga,Ag,Q402971
Alpinia laosensis,Al,Q55812799
Alpinia malaccensis,Am,Q8143524
Alpinia nutans,An,Q2249633
Alpinia purpurata,Ap,Q311172
Alpinia smithiae,As,Q15319876
Alpinia zerumbet,Az,Q2703227
Amaranthus hypochondriacus,Ah,
Amborella trichopoda,At,
Ambrosia artemisiifolia,Aa,Q682164
Ambrosia hispida,Ah,Q15584660
Ambrosia microcephala,Am,Q15583362
Ammodaucus leucotrichus,Al,Q15561134
Ammoides atlantica,Aa,Q15561305
Ammoides pusilla,Ap,Q15561387
Amyris elemifera,Ae,Q4749581
Anacardium humile,Ah,Q13853283
Anacardium occidentale,Ao,
Anacyclus pyrethrum,Ap,Q1855185
Ananas comosus,Ac,
Anaphalis contorta,Ac,Q11085386
Andaliman ,A,
Anemia tomentosa,At,Q17043137
Anethum graveolens,Ag,Q26686
Angelica acutiloba,Aa,Q4387987
Angelica archangelica,Aa,Q207745
Angelica glauca,Ag,Q15562184
Angelica sylvestris,As,Q958823
Aniba riparia,Ar,Q15612304
Aniba rosaeodora,Ar,Q2235214
Aniba terminalis,At,Q15603511
Annona cherimolia,Ac,Q50968899
Annona glabra,Ag,Q2353550
Annona montana,Am,Q311448
Annona reticulata,Ar,Q472653
Anthemis altissima,Aa,Q15570652
Anthemis carpatica,Ac,Q4771600
Anthemis tinctoria,At,Q925164
Anthocleista vogelii,Av,Q15607440
Anthriscus cerefolium,Ac,Q218462
Antirrhinum majus,Am,
Anvillea garcinii,Ag,Q6631840
Apostasia shenzhenica,As,
Aquilaria agallocha,Aa,Q50827286
Aquilaria crassna,Ac,
Aquilegia coerulea,Ac,
Arabidopsis halleri,Ah,
Arabidopsis lyrata,Al,
Arabidopsis thaliana,At,Q158695
Arabis alpina,Aa,
Arabis nemorensis,An,
Arachis hypogaea,Ah,
Argania spinosa,As,Q379746
Arnica montana,Am,Q207848
Artedia squamata,As,Q2494675
Artemisia absinthium,Aa,Q25686
Artemisia afra,Aa,Q2716370
Artemisia annua,Aa,Q1308044
Artemisia arborescens,Aa,Q309692
Artemisia armeniaca,Aa,Q15471012
Artemisia aucheri,Aa,Q38778328
Artemisia barrelieri,Ab,Q14947448
Artemisia caerulescens,Ac,Q15696794
Artemisia campestris,Ac,Q783863
Artemisia chamaemelifolia,Ac,Q13560518
Artemisia ciniformis,Ac,Q15469652
Artemisia copa,Ac,Q15470405
Artemisia deserti,Ad,Q15469526
Artemisia diffusa,Ad,Q12832366
Artemisia eriantha,Ae,Q9182669
Artemisia ferganensis,Af,Q15471687
Artemisia fragrans,Af,Q15475258
Artemisia gallica,Ag,Q21075108
Artemisia gmelinii,Ag,Q1532907
Artemisia gypsacea,Ag,Q15470655
Artemisia haussknechtii,Ah,Q15469794
Artemisia herba-alba,Ah,Q135698
Artemisia incana,Ai,Q15470920
Artemisia judaica,Aj,Q12198769
Artemisia kopetdaghensis,Ak,Q15471025
Artemisia maritima,Am,Q27978
Artemisia myriantha,Am,Q10933052
Artemisia nilagirica,An,Q10906604
Artemisia persica,Ap,Q10885014
Artemisia roxburghiana,Ar,Q15226807
Artemisia santolina,As,Q15477386
Artemisia scoparia,As,Q426647
Artemisia sieberi,As,Q28934733
Artemisia splendens,As,Q15471878
Artemisia stelleriana,As,Q2862331
Artemisia subdigitata,As,Q15472433
Artemisia verlotiorum,Av,Q3915744
Artemisia vulgaris,Av,Q26663
Asparagus officinalis,Ao,
Aspilia africana,Aa,Q15587293
Astartea leptophylla,Al,Q41776531
Aster ageratoides,Aa,Q2912230
Aster tataricus,At,
Astrodaucus orientalis,Ao,Q15475244
Astrodaucus persicus,Ap,Q15475249
Astydamia latifolia,Al,Q2006163
Atalantia buxifolia,Ab,
Atalantia roxburghiana,Ar,Q15389478
Athamanta sicula,As,Q15565672
Athamanta turbith,At,Q4813192
Athrotaxis cupressoides,Ac,Q245878
Athrotaxis selaginoides,As,Q944853
Austrian leopard's,Al,
Austrocedrus chilensis,Ac,Q12981787
Baccharis articulata,Ba,Q5716024
Baccharis coridifolia,Bc,Q5403824
Baccharis dracunculifolia,Bd,Q4838634
Baccharis elaeoides,Be,Q15590794
Baccharis halimifolia,Bh,Q948018
Baccharis linearis,Bl,Q4838645
Baccharis magellanica,Bm,Q44917693
Baccharis obovata,Bo,Q15590941
Baccharis racemosa,Br,Q15589731
Baccharis salicifolia,Bs,Q4838650
Baccharis tenella,Bt,Q38774116
Baccharis tricuneata,Bt,Q15545532
Backhousia citriodora,Bc,Q2708073
Backhousia enata,Be,Q15395189
Backhousia myrtifolia,Bm,Q4839673
Ballota aucheri,Ba,Q15345366
Barbarea vulgaris,Bv,
Barongia lophandra,Bl,Q15396422
Bauhinia ungulata,Bu,Q5723686
Becium grandiflorum,Bg,Q50984221
Berula erecta,Be,Q195416
Beta vulgaris,Bv,
Betula platyphylla,Bp,
Bidens alba,Ba,Q2901708
Bidens cernua,Bc,Q27501
Bidens gardneri,Bg,Q15591283
Bidens pilosa,Bp,Q814421
Bidens tripartita,Bt,Q673334
Bifora radians,Br,Q630904
Bixa orellana,Bo,Q147701
black cardamom,bc,Q1369048
Black raspberry,Br,
Blepharocalyx giganteus,Bg,Q50828147
Blepharocalyx salicifolius,Bs,Q5648537
Bocageopsis multiflora,Bm,Q15399148
Boechera stricta,Bs,
Boesenbergia pandurata,Bp,Q50829149
Bombycilaena erecta,Be,Q5731874
Bottle gourd,Bg,
Bowdichia virgilioides,Bv,Q10374652
Brachypodium distachyon,Bd,
Brachypodium hybridum,Bh,
Brachypodium stacei,Bs,
Brachypodium sylvaticum,Bs,
Brachystegia nigerica,Bn,Q1093517
Brassica campestris,Bc,
Brassica cretica,Bc,
Brassica napus,Bn,
Brassica oleracea,Bo,Q146212
Brassica rapa,Br,
breckland thyme,bt,Q147251
Bruguiera gymnorhiza,Bg,
Bryophyllum pinnatum,Bp,Q19849795
Bunium cylindricum,Bc,Q15566259
Bunium persicum,Bp,Q925373
Bupleurum bicaule,Bb,Q12848887
Bupleurum chinense,Bc,Q1031631
Bupleurum fruticosum,Bf,Q946581
Bupleurum gibraltarium,Bg,Q8253642
Bupleurum longicaule,Bl,Q15593691
Bupleurum malconense,Bm,Q15231626
Bupleurum marginatum,Bm,Q15231627
Bupleurum microcephalum,Bm,Q15231629
Bupleurum rigidum,Br,Q8253657
Bupleurum scorzonerifolium,Bs,Q15231634
Bupleurum smithii,Bs,Q11179174
Bupleurum wenchuanense,Bw,Q11137383
Bupleurum yinchowense,By,Q15239101
Bursera aromatica,Ba,Q5000600
Bursera hollickii,Bh,Q5000601
Bursera microphylla,Bm,Q2367282
Cachrys alpina,Ca,Q17132966
