uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
F6H870,F6H870_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0372g00070,"VIT_200s0372g00070.1, ",PAC:38050505,CCB48413.1,VIT_00s0372g00070,29760,,UPI000210A6B3 ,Magnesium;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6H239,F6H239_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g02580,,,CCB46335.1,VIT_19s0014g02580,29760,,UPI0002109D55 ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I4Y2,F6I4Y2_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0015g02070,,,CCB62077.1,VIT_19s0015g02070,29760,,UPI000210AB13 ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7SZ07,D7SZ07_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_00s0372g00080,,,CBI23483.3,VIT_00s0372g00080,29760,,UPI0001BE251C ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6I240,F6I240_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0392g00060,"VIT_200s0392g00060.1, ",PAC:38049393,CCB61007.1,VIT_00s0392g00060,29760,,UPI000210A5B9 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
E0CS75,E0CS75_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g01060,GSVIVT01014174001,PAC:17825218,CBI20174.3,VIT_19s0014g01060,29760,,UPI00015C764A ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TL98,D7TL98_VITVI,Vitis vinifera (Grape),Terpene_synth domain-containing protein,VIT_18s0001g04200,,,CBI31270.3,VIT_18s0001g04200,29760,,UPI0001BE3920 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],29760,
F6GXN7,F6GXN7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_12s0134g00030,,,CCB44723.1,VIT_12s0134g00030,29760,,UPI000198463D ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I5T0,F6I5T0_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0019g00060,,,CCB62298.1,VIT_13s0019g00060,29760,,UPI00015CBF6E ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
D7TLE0,D7TLE0_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_18s0001g05460,GSVIVT01036373001,PAC:17841327,CBI31312.3,VIT_18s0001g05460,29760,,UPI0001BE3980 ,Coiled coil;Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
F6I6J7,F6I6J7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_13s0067g00050,,,CCB62565.1,VIT_13s0067g00050,29760,,UPI0002109C25 ,Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
E5GAF7,E5GAF7_VITVI,Vitis vinifera (Grape),Terpene synthase,VIT_18s0001g04280,,,ADR74196.1,VIT_18s0001g04280,29760,,UPI00015C96DB ,Coiled coil;Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,
F6I7A7,F6I7A7_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_00s0266g00020,"VIT_200s0266g00020.1, ",PAC:38048408,CCB62825.1,VIT_00s0266g00020,29760,,UPI0002108EEE ,Magnesium;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
A5BEB8,A5BEB8_VITVI,Vitis vinifera (Grape),Uncharacterized protein,VIT_19s0014g04810 VITISV_000919,"VIT_219s0014g04810.1, GSVIVT01014558001","PAC:38060434, PAC:17825520",CAN76781.1,"VIT_19s0014g04810, VITISV_000919",29760,,UPI0001520E04 ,Coiled coil;Magnesium;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],29760,UNCHARACTERIZED
