uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
Q6WAU0,PULR_MENPI,Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata),(+)-pulegone reductase (EC 1.3.1.81),,,,,,34256,1.3.1.81,UPI00001D659C ,Cytoplasm;NADP;Oxidoreductase,IPR013149;IPR041694;IPR011032;IPR036291;IPR020843;,"(+)-pulegone reductase, (-)-menthone as substrate, activity [GO:0052580]; (+)-pulegone reductase, (+)-isomenthone as substrate, activity [GO:0052579]; NADPH binding [GO:0070402]",34256,
Q49SP4,TPGD1_POGCB,Pogostemon cablin (Patchouli) (Mentha cablin),Germacrene D synthase 1 (EC 4.2.3.75) (PatTpsB15),,,,,,28511,4.2.3.75,UPI0000572005 ,Cytoplasm;Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,germacrene-D synthase activity [GO:0052577]; magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334],28511,SESQUITERPENE SYNTHASE
Q49SP7,TPSCS_POGCB,Pogostemon cablin (Patchouli) (Mentha cablin),Gamma-curcumene synthase (EC 4.2.3.94) (PatTpsA),,,,,,28511,4.2.3.94,UPI0000572002 ,Cytoplasm;Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,gamma-curcumene synthase activity [GO:0102064]; magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334],28511,SESQUITERPENE SYNTHASE
Q49SP6,TPGD2_POGCB,Pogostemon cablin (Patchouli) (Mentha cablin),Germacrene D synthase 2 (EC 4.2.3.75) (PatTpsBF2),,,,,,28511,4.2.3.75,UPI0000572003 ,Cytoplasm;Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,germacrene-D synthase activity [GO:0052577]; magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334],28511,SESQUITERPENE SYNTHASE
Q6WAU1,IPIPR_MENPI,Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata),(-)-isopiperitenone reductase (EC 1.3.1.82),,,,,,34256,1.3.1.82,UPI00001D659B ,3D-structure;Cytoplasm;NADP;Oxidoreductase,IPR036291;IPR002347;,(-)-isopiperitenone reductase activity [GO:0052581]; NADPH binding [GO:0070402],34256,
Q8H2B4,LLOS_MENAQ,Mentha aquatica (Water mint),"R-linalool synthase, chloroplastic (EC 4.2.3.26)",,,,,,190902,4.2.3.26,UPI00000AD990 ,Chloroplast;Lyase;Magnesium;Manganese;Metal-binding;Plastid;Transit peptide,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; R-linalool synthase activity [GO:0034008]; terpene synthase activity [GO:0010333],190902,MONOTERPENE SYNTHASE
Q5W283,TPSCM_MENPI,Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata),Cis-muuroladiene synthase (MxpSS1) (EC 4.2.3.67),,,,,,34256,4.2.3.67,UPI0000453A01 ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Plant defense,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],34256,
Q49SP3,TPSPS_POGCB,Pogostemon cablin (Patchouli) (Mentha cablin),Patchoulol synthase (PatTps177) (EC 4.2.3.70) (Alpha-guaiene synthase) (EC 4.2.3.87) (Delta-guaiene synthase) (EC 4.2.3.93),,,,,,28511,4.2.3.70; 4.2.3.87; 4.2.3.93,UPI0000572006 ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],28511,
O48935,TPSBF_MENPI,Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata),Beta-farnesene synthase (EC 4.2.3.47),,,,,,34256,4.2.3.47,UPI00000ACEC7 ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Plant defense,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],34256,SESQUITERPENE SYNTHASE
Q49SP5,TPGAS_POGCB,Pogostemon cablin (Patchouli) (Mentha cablin),Germacrene A synthase (EC 4.2.3.23) (PatTpsCF2),,,,,,28511,4.2.3.23,UPI0000572004 ,Cytoplasm;Lyase;Magnesium;Metal-binding,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,germacrene-A synthase activity [GO:0034005]; magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334],28511,SESQUITERPENE SYNTHASE
