PMC_Id	Genus	species	gene ID	TPS Name
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA032539.1	CsTPS01(Germacrene D synthase\sesquiterpene synthases)
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA029356.1	CsTPS02(Germacrene D synthase\sesquiterpene synthases)
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA014184.1	CsTPS03(Germacrene D synthase)
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA031969.1	CsTPS04(Germacrene D synthase)
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA031966.1	CsTPS05(Germacrene D synthase)
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA025177.1	CsTPS06
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA010895.1	CsTPS07
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA005128.1	CsTPS08(Valerianol synthase)
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA017888.1	CsTPS09
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA032538.1	CsTPS10
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA005117.1	CsTPS11
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA022784.1	CsTPS12
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA021924.1	CsTPS13
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA017878.1	CsTPS14
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA002287.1	CsTPS15
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA017309.1	CsTPS16
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA033098.1	CsTPS17
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA029355.1	CsTPS18
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA031961.1	CsTPS19
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA029353.1	CsTPS20
PMC6976640	Camellia	Camellia sinensis var. sinensis	TEA029348.1	CsTPS21(Germacrene D synthase)
