uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION,,,,,,,,,
A0A4V3WPB5,A0A4V3WPB5_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_029003,,,THG15767.1,TEA_029003,542762,,UPI00113983F9 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4D398,A0A4S4D398_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_022626,,,THF96774.1,TEA_022626,542762,,UPI00113DEF99 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EAH8,A0A4S4EAH8_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_012692,,,THG13153.1,TEA_012692,542762,,UPI001138CCDC ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EPL5,A0A4S4EPL5_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_021603,,,THG18302.1,TEA_021603,542762,,UPI001136A0EF ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EUC3,A0A4S4EUC3_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_027987,,,THG20530.1,TEA_027987,542762,,UPI001138D4A5 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4DDZ2,A0A4S4DDZ2_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_026258,,,THG00889.1,TEA_026258,542762,,UPI001138CD9B ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EKK3,A0A4S4EKK3_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_008186,,,THG17108.1,TEA_008186,542762,,UPI0011358DB5 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4CVU4,A0A4S4CVU4_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_028454,,,THF93981.1,TEA_028454,542762,,UPI00113502C8 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4D752,A0A4S4D752_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_000448,,,THF98239.1,TEA_000448,542762,,UPI0011338689 ,Membrane;Reference proteome;Transmembrane;Transmembrane helix,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4V3WKY2,A0A4V3WKY2_CAMSI,Camellia sinensis var. sinensis,Uncharacterized protein,TEA_020748,,,THG02637.1,TEA_020748,542762,,UPI00113C042B ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],542762,UNCHARACTERIZED,,,,,,,,,
A0A4S4EZR2,A0A4S4EZR2_CAMSI,Camellia sinensis var. sinensis,Terpene_synth domain-containing protein,TEA_023465,,,THG22609.1,TEA_023465,542762,,UPI00113B4F46 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],542762,,,,,,,,,,
